"","city","n","country","lat","long"
"246","Singlesole",4,"United Kingdom",NA,NA
"247","South Thoresby",4,"United Kingdom",53.2715916,0.1003293
"248","South Willingham",4,"United Kingdom",53.33789475,-0.188935571120196
"249","Southoe",4,"United Kingdom",52.2645461,-0.266987
"250","Spaldwick",4,"United Kingdom",52.3423268,-0.3452323
"251","Spaldyng",4,"United Kingdom",NA,NA
"252","Spillesby",4,"United Kingdom",NA,NA
"253","Stickford",4,"United Kingdom",53.1209768,0.0248635
"254","Surfleet",4,"United Kingdom",52.8351289,-0.1426897
"255","Tansor",4,"United Kingdom",52.5060951,-0.4468001
"256","Tewin",4,"United Kingdom",51.8165701,-0.155517
"257","Thurleigh",4,"United Kingdom",52.2152272,-0.4596295
"258","Towcester",4,"United Kingdom",52.1350273,-0.9948465
"259","Twyford",4,"United Kingdom",51.9315564,-1.0358424
"260","Uffington",4,"United Kingdom",51.6009313,-1.5626067
"261","Upper Heyford",4,"United Kingdom",51.9309707,-1.2762488
"262","Waddingham",4,"United Kingdom",53.4533093,-0.5194654
"263","Windsor",4,"United Kingdom",51.4814958,-0.6133183
"264","Woodston",4,"United Kingdom",52.5634876,-0.2571498
"265","Wraysbury",4,"United Kingdom",51.4574568,-0.5606471
"266","Wytteneye",4,"United Kingdom",NA,NA
"267","Althorpe",3,"United Kingdom",53.5772252,-0.7404416
"268","Ambrosden",3,"United Kingdom",51.871261,-1.1243062
"269","Armagh",3,"United Kingdom",54.3481977,-6.6540432
"270","Ashby Folville",3,"United Kingdom",52.7019391,-0.9545019
"271","Aynho",3,"United Kingdom",51.9965417,-1.2512976
"272","Ayston",3,"United Kingdom",52.6029782,-0.728837159980996
"273","Bag Enderby",3,"United Kingdom",53.2290638,0.0201129
"274","Bamack",3,"United Kingdom",NA,NA
"275","Belleau",3,"United Kingdom",53.2855442,0.1017862
"276","Beltisloe",3,"United Kingdom",NA,NA
"277","Binbrook",3,"United Kingdom",53.4290439,-0.179191
"278","Blunham",3,"United Kingdom",52.1463441,-0.3174754
"279","Blyborough",3,"United Kingdom",53.4382298,-0.5929338
"280","Boothby Graffoe",3,"United Kingdom",53.1208644,-0.5298767
"281","Branston",3,"United Kingdom",52.78867905,-1.66066838052343
"282","Broadwell",3,"United Kingdom",51.7346341,-1.6358497
"283","Brocklesby",3,"United Kingdom",53.586905,-0.2757603
"284","Bulwick",3,"United Kingdom",52.5375251,-0.5802007
"285","Buslingthorpe",3,"United Kingdom",53.3523061,-0.378701
"286","Bustardthorpe",3,"United Kingdom",NA,NA
"287","Byfield",3,"United Kingdom",52.1744947,-1.2480551
"288","Cadeby",3,"United Kingdom",53.4995392,-1.2224675
"289","Caenby",3,"United Kingdom",53.393398,-0.4966098
"290","Checkendon",3,"United Kingdom",51.5439758,-1.0403108
"291","Chichester",3,"United Kingdom",50.8364862,-0.7791721
